GSS_CODE,Year,Borough,weekly-rent,Number_of_Listings,Air_oo,population,percentage_of_qualifications_of_working_age_population,Median_income,Crime_Rate
E09000027,2017,Richmond upon Thames,122.82,869.0,30166.38735934881,203000,64.9,36600.0,49.9
E09000028,2017,Southwark,122.47,3359.0,43566.111447369454,319000,63,29400.0,87.9
E09000029,2017,Sutton,119.7,147.0,5275.337210741245,206000,51.4,27300.0,45.0
E09000030,2017,Tower Hamlets,125.85,5611.0,63323.230944254836,312000,47.3,30500.0,85.3
E09000031,2017,Waltham Forest,122.04,911.0,16457.24608590927,279000,43.9,24500.0,64.9
E09000032,2017,Wandsworth,131.24,2744.0,53980.85033791387,324000,71.3,35000.0,65.8
E09000033,2017,Westminster,130.12,5360.0,82381.38360181778,250000,62.3,36100.0,171.3
E09000001,2018,City of London,126.83,414.0,,9000,100,60000.0,
E09000002,2018,Barking and Dagenham,118.51,177.0,2874.167446468872,215000,33,23900.0,
E09000003,2018,Barnet,127.68,1282.0,41145.69149970822,401000,51.5,28700.0,
E09000004,2018,Bexley,110.75,184.0,6982.305117168819,251000,42,26900.0,
E09000005,2018,Brent,125.6,2027.0,36437.972974157965,339000,40.3,24700.0,
E09000006,2018,Bromley,115.72,521.0,17983.554777102738,337000,49.6,32000.0,
E09000007,2018,Camden,133.52,4815.0,117028.27672061177,258000,64.3,37300.0,
E09000008,2018,Croydon,123.39,813.0,19276.12058917029,395000,47.6,27500.0,
E09000009,2018,Ealing,126.92,1389.0,38359.80591062323,355000,53.6,26700.0,
E09000010,2018,Enfield,122.2,485.0,13834.683954619124,344000,40.8,26300.0,
E09000011,2018,Greenwich,119.25,1317.0,20925.521350546176,287000,51.5,27600.0,
E09000012,2018,Hackney,120.01,5602.0,77001.61152715897,283000,53.4,29400.0,
E09000013,2018,Hammersmith and Fulham,128.68,3591.0,78747.18438270943,185000,63.1,33200.0,
E09000014,2018,Haringey,118.09,1868.0,35077.50664275588,283000,53.7,27100.0,
E09000015,2018,Harrow,130.91,390.0,12807.372392163992,258000,46.3,27600.0,
E09000016,2018,Havering,118.09,144.0,5464.017908230357,258000,30,27900.0,
E09000017,2018,Hillingdon,124.13,419.0,10698.672802267178,314000,43.2,27100.0,
E09000018,2018,Hounslow,124.35,839.0,20550.767354405936,283000,54.5,26400.0,
E09000019,2018,Islington,124.99,4349.0,72441.40118494285,240000,67.1,33400.0,
E09000020,2018,Kensington and Chelsea,126.92,4919.0,110393.32343693383,159000,62,40400.0,
E09000021,2018,Kingston upon Thames,130.61,437.0,14260.237379716478,183000,60.1,32400.0,
E09000022,2018,Lambeth,117.78,4167.0,84049.47646308545,336000,61.7,29900.0,
E09000023,2018,Lewisham,109.91,1934.0,31396.621343222083,310000,58.7,27300.0,
E09000024,2018,Merton,113.69,1114.0,33170.07364915778,214000,53.2,30200.0,
E09000025,2018,Newham,119.38,1670.0,28469.464218808538,353000,48.8,24100.0,
E09000026,2018,Redbridge,124.73,519.0,14090.589476151412,314000,46.2,28000.0,
E09000027,2018,Richmond upon Thames,122.68,1042.0,36171.89370361503,205000,67.9,36100.0,
E09000028,2018,Southwark,122.33,4253.0,55161.25989451095,324000,64.6,29400.0,
E09000029,2018,Sutton,117.52,193.0,6926.1230045786415,208000,48.4,28200.0,
E09000030,2018,Tower Hamlets,124.92,6945.0,78378.15699658703,320000,54.7,30200.0,
E09000031,2018,Waltham Forest,116.74,1109.0,20034.122842232035,282000,48.7,25500.0,
E09000032,2018,Wandsworth,128.38,3533.0,69502.31204221927,327000,70.7,34500.0,
E09000033,2018,Westminster,130.46,7385.0,113504.94736929558,254000,66.7,39700.0,
E09000001,2019,City of London,126.59,438.0,,9000,100,,
E09000002,2019,Barking and Dagenham,116.92,299.0,4855.232014091484,219000,33.1,,
E09000003,2019,Barnet,127.97,1487.0,47725.15074888153,406000,53.2,,
E09000004,2019,Bexley,109.12,242.0,9183.249121493773,254000,35.5,,
E09000005,2019,Brent,133.71,2325.0,41794.912266856074,342000,47.7,,
E09000006,2019,Bromley,115.86,638.0,22022.088191538474,341000,54.1,,
E09000007,2019,Camden,131.12,5575.0,135500.02964016836,261000,60.9,,
E09000008,2019,Croydon,122.2,1039.0,24634.550174843702,400000,42.9,,
E09000009,2019,Ealing,130.55,1568.0,43303.222223079356,358000,58.7,,
E09000010,2019,Enfield,122.77,577.0,16458.99513776337,348000,40,,
E09000011,2019,Greenwich,118.66,1556.0,24722.939424031778,291000,49.7,,
E09000012,2019,Hackney,119.13,5969.0,82046.16551331879,287000,57.4,,
E09000013,2019,Hammersmith and Fulham,128.56,3977.0,87211.79401003492,186000,70,,
E09000014,2019,Haringey,119.23,2031.0,38138.338325180506,286000,59,,
E09000015,2019,Harrow,132.14,442.0,14515.022044452524,260000,50.1,,
E09000016,2019,Havering,116.33,221.0,8385.749706381312,261000,33.7,,
E09000017,2019,Hillingdon,124.44,562.0,14350.009820702038,319000,51.9,,
E09000018,2019,Hounslow,123.32,976.0,23906.494562455537,287000,55.2,,
E09000019,2019,Islington,124.74,4935.0,82202.41776217359,244000,61.7,,
E09000020,2019,Kensington and Chelsea,126.37,5698.0,127875.81966734072,159000,65.5,,
E09000021,2019,Kingston upon Thames,127.33,501.0,16348.693197340861,186000,59.3,,
E09000022,2019,Lambeth,117.27,4659.0,93973.24474238424,339000,63.8,,
E09000023,2019,Lewisham,109.47,2209.0,35860.98063452822,315000,60.2,,
E09000024,2019,Merton,113.27,1300.0,38708.344473882506,216000,60,,
E09000025,2019,Newham,118.63,1861.0,31725.55264143874,359000,44,,
E09000026,2019,Redbridge,124.38,645.0,17511.426227587013,318000,45.6,,
E09000027,2019,Richmond upon Thames,120.13,1141.0,39608.5707445535,208000,65.4,,
E09000028,2019,Southwark,121.65,4686.0,60777.254612198056,328000,62,,
E09000029,2019,Sutton,117.09,252.0,9043.435218413564,211000,45.9,,
E09000030,2019,Tower Hamlets,124.19,7653.0,86368.32764505119,327000,60.5,,
E09000031,2019,Waltham Forest,116.49,1292.0,23340.02408671216,285000,50.2,,
E09000032,2019,Wandsworth,128.01,4041.0,79495.85139049197,331000,71.6,,
E09000033,2019,Westminster,140.33,8863.0,136221.30650427443,258000,65.5,,
